Key	Text
TrialIllustration	玩法分为前段与后段，每段各5关。\n关卡可复刷，复刷没有任何奖励。\n每通关5关即可领取装备奖励。
AwarenessTfPos	{0}号位
AwarenessTfMaterialMainError	请先选择主要材料
AwarenessTfMaterialError	材料不足
AwarenessTfConfirmTitle	重要提示
AwarenessTfConfirmContent	装备改造后将保留当前等级。
AwarenessTfConfirmContentResonance	当前装备带有共鸣技能，改造后将会清空！
AwarenessTfMaterialSelectError	已达到选择上限
PrequelChallangeTab	挑战模式
PrequelCompletion	完成度：{0}/{1}
TrialFinish	已完成关卡
TrialUnLock	未解锁关卡
AbilityInsufficient	战力不足
AvgInsufficient	目前关卡极度危险，建议{0}个上阵构造体战力提升至{1}，是否强行挑战
Insufficient	目前关卡极度危险，建议提升构造体战力至{0}，是否强行挑战
AbilityCurrentTips	{0}(当前战力：{1})
AvgAbilityTips	{0}(平均战力：{1})
RenameLengthError	昵称不能为空
DrawRuleHint	占<color=#36cdff>{0}</color>{1}出率<color=#36cdff>{2}</color>
DrawBottomTimes	剩余<color=#36cdff>{0}</color>回必出
AbilityCurrentSufficientTips	<color=#0e70bd>{0}(已有最高战力：{1})</color>
AbilityCurrentInSufficientTips	<color=#e84c4c>{0}(已有最高战力：{1})</color>
TrialForPro	前段进度{0}/{1}
TrialBackEndPro	后段进度{0}/{1}
TrialName	意识营救战
TrialLevelFinish	解锁意识{0}/{1}
NoticeTag1	活动
NoticeTag2	补给
NoticeTag3	重要
NoticeTypeTitle2	游戏公告
ShopAutoRefresh	<size=26><color=#626c78>自动刷新：</color></size>
PrequelUnTrigger	未完成触发条件
DrawResetTimeShort	{0}
TrialNoFinishTips	请先通过阿斯麦
NoActivities	当前没有活动公告
NoInGameNotice	当前没有公告
ItemCanConvert	溢出
DrawCardResetTime	<size=28><color=#AFAFAFFF>距离重置还有:</color></size>{0}
ArenaActivityTeamStatusWrong	组队功能暂未开放，请于组队期进行操作
ArenaActivityStatusWrong	当前状态无法执行此操作
EmailExpireTime	剩余时间：{0}
EmailForever	剩余时间：永久
ArenaActivityStatusChange	竞技场状态已经改变
Rank1Color	<color=#ff3f3f>{0}</color>
Rank2Color	<color=#0e70bd>{0}</color>
Rank3Color	<color=#30aa17>{0}</color>
RankOtherColor	<color=#636363>{0}</color>
FriendApplySuccess	您已经向对方发送好友申请
FrienRefreshSuccess	好友刷新成功
FriendAgree	已同意好友请求
FriendRefuse	已拒绝好友请求
FriendThrowSuccess	群体投掷成功
AutoFightStageMainType	主线剧情
AutoFightStagePrequelType	间章挑战
DormAllDesc	全选
DormFurnitureRecycelNull	尚未选择家具
DormFurnitureRecycelComfirm	确认回收选中家具
DormFurnitureRecycelUsingComfirm	有家具正在使用确认继续回收
DormFurnitureRecycelUsingTip	无法回收使用中的家具
DormFurnitureNotSuit	无套装属性
DormCharacterLevel	阶段{0}
DormCharacterHpRecover	当所在宿舍达到{0}{1}{2}伙伴每小时恢复体力{3}
DormCharacterHpLeft	<color=#0E70BD><size=40>{0}</size></color>/{1}
DormCharacterHpSpeed	每小时恢复{0}点体力
DormCharacterMoodSpeed	每小时恢复{0}点心情
DormFurnitureEffectDesc	此家具所在宿舍的构造体的{0}增加{1}点，{2}不生效
DormFurnitureEffectDescNull	无特殊效果
DormFurnitureSelectNull	尚未选择
DormFurnitureScoreDesc	<size=24>{0}</size>{1}
DormFurnitureAllTypeRepeatClickHint	请选择一个类型
DormSelectAllCount	全部选择<size=38><color=#0E70BD>{0}</color></size>
DormSelectCount	已筛选<size=38><color=#0E70BD>{0}</color></size>
DormLock	解锁
DormPerson	人员
DormWork	执勤
DormLove	超爱
DormLike	喜好
DormTotalScore	总评分
DormTask	任务
DormDes	说明
DormWareHouse	仓库
DormReName	改名
DormFieldGuilde	图鉴
DormMyFriend	我的好友
DormMember	舰队成员
DormStranger	未知访客
DormWorking	执勤中
DormWorked	完成执勤
DormBase	基础
DormJapanese	日系
DormPunk	朋克
DormDesSecond	宿舍舒适度由：美观、舒适、实用组成，不同的伙伴喜欢的属性各不相同。\n进入仓库可查看构造体/侵蚀体喜欢的属性。舒适度可提升构造体的体力恢复速度（ps.伙伴喜欢的属性高的话，还可以恢复心情值）。\n初始解锁一间宿舍，可使用家具币不断解锁其他宿舍。每个宿舍最多放置3个伙伴。\n\n家具可通过商店购买（ps.商店内的家具属性固定）/建造/改装获取。\n建造仅可建造“基础套”家具，但可以自定义家具属性。\n改装可以通过消耗图纸，更改家具的样子（还会出现特殊效果）。\n\n心情值很高的伙伴会定期赠送指挥官礼物，不断提高伙伴的心情值吧！
DormDesWork	通过消耗伙伴体力进行执勤，可获取家具币。\n每次执勤会消耗伙伴几乎全部的体力。\n体力与可获取家具币的比例成固定值。\n执勤的座次数量可通过解锁宿舍房间提升。\n每日凌晨5:00的执勤座次。
DormChinese	宿舍
DormReNameSuccess	改名成功
DormReNameFail	改名失败
ExploreChapterName	{0}章记录
ExploreNotOpenError	请先通关前面章节
DormOnline	在线
DormOffline	离线
DormNoCount	没有宿舍
DormBagFurnitureCount	<size=26><color=#000000FF>拥有的家具   </color></size><size=52><color=#0f70bc>{0}</color></size>
DormBagEmneyCount	<size=26><color=#000000FF>拥有的侵蚀体   </color></size><size=52><color=#0f70bc>{0}</color></size>/{1}
DormBagCharacterCount	<size=26><color=#000000FF>拥有的构造体   </color></size><size=52><color=#0f70bc>{0}</color></size>/{1}
DormBagDraftCount	<size=26><color=#000000FF>拥有的图纸   </color></size><size=52><color=#0f70bc>{0}</color></size>
DormHight	<color=#{0}>{1}(高)</color>
DormFondleCount	爱抚次数  <color=#34AFF8FF><size=66>{0}</size></color>/{1}
DormFondleRecovey	{0}恢复中
DormMiddle	<color=#{0}>{1}(中)</color>
DormHightDescription	<color=#0f70bcff>超爱</color>
DormMiddleDescription	<color=#0f70bcff>喜爱</color>
BaseEquipNeedLevel	指挥官等级需达到{0}级
BaseEquipType1	进攻专属
BaseEquipType2	装甲专属
BaseEquipType3	辅助专属
ExploreBuffUnlock	通关{0}解锁
ExploreBuffUnlockSeparate	、
ExploreRewardError	奖励已领取
ExploreRewardTitle	奖励详情
ExploreExplain	完成章节所有的关卡后，可解锁章节奖励，并解锁下一章节。\n\n每个章节构造体的体力有限，注意构造体的使用。\n\n构造体的体力进入新章节后重置。
FurnitureDefaultDraft	Assets/Product/Texture/Atlas/UiFurnitureBuild/FurnitureJia.png
FurniturePreviewIcon	Assets/Product/Texture/Atlas/UiFurnitureBuild/FurnitureWeizhi.png
FurnitureChooseFurniture	请选择一个家具
FurnitureChooseDraft	请选择一个图纸
FurnitureNotMatchDraft	该图纸不能改装当前选中的家具
FurniturePlaceNotCorrect	请先摆放好家具
FurnitureOutOfLimit	不能放置家具，该类型的家具已经达到上限
FurnitureChooseAType	请选择一个家具类型
ExploreBannerProgress	最新章节：
ExploreBannerProgressEnd	全部完成
FurnitureDescription	调整投入的家具币比例，可控制舒适度属性分布。\n投入的家具币越多，随机到的属性总值越高。
DormBuild	建造
DormWorkTips	选择执勤位不得超过最大数量
DormWorkCount	执勤位 <size=66><color=#0f70bc>{0}</color></size>/{1}
DormEmptyTips	宿舍没有人
DormActiveStateTips	此宿舍没有激活
DormActiveTips	是否花费{0}个{1}激活该宿舍（宿舍币商店购买）
FurnitureInvestment	至少投入<color={0}> {1} </color>家具币，最多投入<color={2}> {3} </color>家具币
DormActiveSuccessTips	宿舍激活成功
DormEnterTips	是否进入{0}宿舍
DormVisitStrangeEmptyTips	没有访客
DormVisitFriendEmptyTips	暂无好友 
FurnitureSelectAType	请先选择一个家具类型
DormPersonMoveTips	是否将{0}移到{1}宿舍
DormRewardText	奖励已领取
FurnitureSaveSuccess	家具保存成功
FunitureCannotCompound	选中的图纸不能合成家具
FurnitureTips	提示
FurnitureIsSave	是否要保存修改？
DormWorkNoRewardTips	无可收取奖励
ExhibitionNotObtainCharacter	尚未获取该构造体
ExhibitionTaskNotFinish	领取条件还未达成
ExhibitionUnknownCharacter	暂无该构造体信息
ExhibitionExplain	收集到的构造体会点亮对应的构造体头像。\n提升了构造体战力、等级后，可以解锁构造体专属奖励。
DormFullPersonTips	超过宿舍最大数量
DormVisitorFirend	是否添加{0}为好友
FavorabilityGetWay	偶遇可获得礼物
BossOnlineProcess	拾荒者剩余：{0}
BossOnlineKillCount	击杀构造体：{0}
BossOnlineConsumeTips	拾荒者已消耗完毕，结算时将失去【拾荒者奖励】选择权，是否继续。
BossOnlineNotUnlock	请完成上一难度关卡
BossOnlineConsumeFinish	拾荒者已消耗完毕
BossOnlineInvade1	终于见面了呢
BossOnlineInvade2	在天上的人类们
BossOnlineInvade3	接下来的表演估计会很精彩吧
BossOnlineInvade4	准备好承受守林人的怒火了吗
BossOnlineInvade5	那么，有请主角上场
ActivityBranchNormalProcess	进度：{0}/{1}（普通）
ActivityBranchLeftTime	活动剩余：{0}
ActivityBranchDifficultProcess	进度：{0}/{1}（挑战）
ActivityBranchCurLevelDes	{0} - {1}级
ActivityBranchLevelDes	{0} - {1}级
ActivityBranchFightLeftTime	作战时间剩余：
ActivityBranchShopLeftTime	兑换时间剩余：
ActivityBranchChallengeBeginTime	挑战开启时间：{0}
PayAcceptTips	充值已受理，请耐心等待
PaySuccess	充值成功
PayFail	充值失败
ActivityMainLineEnd	活动已结束
ActivityBranchFightEnd	战斗时间已结束
DormCaressTips	伙伴放于床上有助于恢复心情
FurnitureCleanRoom	是否全部收起？
FurnitureRevertRoom	是否重置修改
DormReNameTips	名字中不能有空格
ActivityAlreadyOver	活动已结束
DormPersonTxt	人员
DormRemouldTxt	装扮宿舍
DormMenTxt	菜 单
ActivityBossSingleProcess	进度：{0}/{1}
ActivityBossSinglePreStage	通关前置关卡{0}
ActivityBossSingleFightEnd	战斗时间已结束
DormVisitNameStyle	{0}<size=28>（{1}）</size>
DormFieldGuildeCountText	<size=52><color=#0f70bc>{0}</color></size>/{1}
DormWorkRefreshTime	每日<size=66><color=#0f70bc>{0}</color></size>刷新
DormWorkVitNotEn	执勤体力不足
DormWorkPosUnLockTips	请开启新宿舍
FurntiureBuildCreateCH	制造
FurntiureBuildCreateEN	基础家具
FurnitureBuildRefitCH	改装
FurnitureBuildRefitEN	家具改造
FurnitureRefitScore	评分   <size=26><color=#000000CC>{0}</color></size>
ActivityBranchNotOpen	活动未开启
ActivityBranchOver	活动已结束
ActivityBossSingleNotOpen	活动未开启
ActivityBossSingleOver	活动已结束
ActivityBossOnlineOver	"每天中午11:00-14:00,晚上20:00-23:00开启"
FurnitureWholeText	全部
FurnitureAddType	添加类型
MaxRecommendFight	需有角色战力高于
AvgRecommendFight	需角色战力均高于
RecommendFight	推荐战力
NoneBfrtMode	暂无据点模式
CancelText	取消
DormWorkStart	开始执勤
DormFurnitureName	{0} <size=28>{1}·{2}</size>
EquipResonanceExplainTitle	装备共鸣说明
EquipResonanceExplain	6★武器共鸣-\n效果：获得指定武器技能\n消耗：任意6★武器1件\n备注：绑定构造体\n5★武器共鸣-\n效果：获得指定2条基础属性\n消耗：任意5★武器1件\n\n6★意识共鸣-\n效果：随机获得技能池中任意1个技能，等级可叠加\n消耗：同套装意识1件\n备注：绑定构造体\n5★意识共鸣-\n效果：随机加强2条属性\n消耗：同套装意识1件
EquipResonanceConsumeItemLack	没有足够的共鸣道具。
EquipStrengthenBtnTxt1	强化
EquipStrengthenBtnTxt2	提升等级
EquipBreakthroughBtnTxt1	突破
EquipBreakthroughBtnTxt2	等级上限
PusrchaseBuyTips	将使用<color=#fff100>{0}元</color>购买【{1}】，是否确定
PurchasePayText	充值
PurchaseLbText	l礼包
PurchaseHK	黑卡
PurchaseYK	月卡
ReportFinish	已举报该玩家
ReportError	您已举报成功，{0}秒后才能再次举报
PurchaseYKExChangeTab	兑换
PurchaseYKShopTab	黑卡商店
ReportSelectTypeError	请选择一种举报类型
ReportTemplate	该玩家在【{0}】中疑似作弊。
SetPlayerInfoError	请求过于频繁，请稍后再试
SetAppearanceSuccess	保存成功
PurchaseAddHide	*****
PurchaseRestTypeDay	每日限购{0}/{1}
PurchaseRestTypeWeek	每周限购{0}/{1}
PurchaseRestTypeMonth	每月限购{0}/{1}
PurchaseRestTypeInterval	每隔{0}天限购{1}/{2}
PurchaseExchangeTips	购买额外赠送{0}{1}
PurchaseFirstPayTips	首次购买额外赠送{0}{1}
PurchaseAddPayDes	累计购买虹卡可领取对应奖励。
PurchaseYKDes	月卡购买后，持续30日，每日5:00，可领取100黑卡。\n月卡最多购买2张，超过2张后无法购买。\n购买后可立即获取300黑卡。
SaveShowSetting	是否保存展示设置修改？
AreanaStaSocre	积分：{0}
ArenaRankDesc	（每30分钟更新一次）
ArenaHighDesc	{0}<size=32><color=#000000FF>（本期历史最高）</color></size>
ArenaConnotPassTip	通关前置关卡后开启
IsNotFriend	未成为好友
PurchaseBuySuccessTips	购买成功
BagNoOverFragment	暂无溢出的碎片
DormWorkNoPerson	未选择角色
DormVisitBtn	随机访问
FavorabilityMaxLevel	信赖等级已经达到最高
DormReNameErrorText	宿舍名称不能留空
DormWorkNoPerson1	无可执勤人员
PurchaseLiSellOut	礼包已售罄
PurchaseSetOffTime	{0}后下架
PurchaseSetOnTime	{0}后上架
PurchaseBuyNotSet	还没有上架
PurchaseYKBuyLimt	月卡限购：{0}/{1}
PurchaseYKSurplusDay	剩余天数：{0}天
PurchaseYKMaxDay	最大累计天数：{0}/{1}天
PurchaseYKGetTips	立即获得<color=#ff8338><size=30>{0}</size></color>{1}
PurchaseYKDayGet	连续{0}天每天可获得<color=#59f5ff>{1}</color>{2}
FavorabilityMaxGiftNum	已经达到最大值
PurchaseYKBuyText1	<color=#ffea00>{0}</color>{1}          购买
PurchaseYKBuyText2	点击续购
PurchaseYKBuyText3	不可续购
PurchaseYKBuyText4	不限购
PurchaseGiftValitimeTips1	礼包即将过期
PurchaseGiftValitimeTips2	多个礼包即将过期
BossSingleCannotReward	尚未达到可领取积分
PurchaseNotBuy	无法进行购买
BossSingleRepeartDesc	重复挑战boss仅刷新最高讨伐值.\n讨伐值不会累计。
BossSingleAutoFightDesc1	无记录保存
BossSingleAutoFightDesc2	{0}难度无自动战斗
BossSingleAutoFightDesc3	<color=#0e70bd>{0}</color>/{1}
BossSingleAutoFightDesc4	{0}<size=26><color=#000000FF>/{1}</color></size>
BossSingleAutoFightDesc5	<color=#0e70bd>{0}</color>/{1}
BossSingleAutoFightDesc6	<color=red>{0}</color>/{1}
BossSingleAutoFightDesc7	构造体无耐力，无法替换记录
BossSingleAutoFightDesc8	挑战次数不足，无法替换记录
BossSingleAutoFightDesc9	替换记录将消耗阵容耐力及每日次数各1点，是否挑战
BossSingleAutoFightDesc10	（最高可获取{0}）
BossSingleAutoFightDesc11	替换记录将消耗阵容耐力及每日次数各1点，并将讨伐值更新为保存记录的80%，是否挑战
BossSingleAutoFightDesc12	自动战斗讨伐值低于目前讨伐值，无法自动战斗
DrawNotEnoughError	您的货币不足
CdKeyIsEmpty	请输入兑换码
MaxCurRecommendFight	(当前角色最高战力{0})
AvgCurRecommendFight	(还有{0}个角色未达到)
TaskLeftHour	剩余<color=#0e70bd> {0} </color>小时
TaskLeftMin	剩余<color=#0e70bd> {0} </color>分钟
TaskBeginHour	距离开始<color=#0e70bd> {0} </color>小时
TaskBeginMin	距离开始<color=#0e70bd> {0} </color>分钟
FightConditionError	未达到关卡开始条件
TaskStateUnopen	未开启
TaskStateOverdue	已过期
TaskStateSkip	前往
PurchaseDirGet	直接获得
PurchaseFreeText	免费
PurchaseLBSettOff	下架了
BattleLoseActorNum	投入构造体：{0}
PurchasePayGetText	购买额外赠送{0}{1}
BossSingleAutoSuccess	自动战斗成功
DormDrawNoOpenTips	卡池未开启
DormWorkText	执勤
DormPersonText	人员
DormDrawText	研 发
DormTaskText	任务
DormShopText	商 店
DormWareHouseText	仓 库
DormBuidText	制 造
BossSingleReslutDesc	目前讨伐值已超过历史最高，是否取消
DormDisable	宿舍未开放
PurchaseLBBuySuccessTips	购买成功
PurchaseSettOff	礼包已下架
DormNoRoomsTips	无可切换宿舍
DormComfortLevelTips	提升伙伴喜欢的舒适度属性，可增加体力/心情恢复速度
ConfirmText	确定
FurnitureColorS	#daa10d
FurnitureColorA	#a029c9
FurnitureColorB	#0e70bd
FurnitureColorC	#42a306
FurnitureQualityS	S
FurnitureQualityA	A
FurnitureQualityB	B
FurnitureQualityC	C
DormWorkingText	执勤中
DormNoPerson	无构造体
DormWorkSeleCount	执勤位 <size=42><color=#0f70bc>{0}/{1}</color></size>
GradeStarNum	<size=50><color=#0f70bc>{0}</color></size>/{1}
FurnitureCreateSuccess	建造成功
FurnitureRefitSuccess	改造成功
MainFubenProgress	{0}%
DormTaskDText	宿舍成就
DormTaskNText	成就任务
DormTouchDesc	来回抚摸
DormTouchTimeOut	<color=#0E70BDFF>{0}</color>秒后可继续抚摸
FurnitureMaxCoin	已达到最大值
FurnitureColorAttrA	#ff8a8f
FurnitureColorAttrB	#ffc259
FurnitureColorAttrC	#87afff
DormWorkVitTxt	体力<color=#000000FF><size=32>{0}/{1}</size></color>
BossSingleDesc	可挑战游戏中各大boss，boss每次随机刷新3只（初级区2只）。\nboss以α、β、γ组区分，并进行刷新。\n击杀boss可获取讨伐值，当讨伐值达到一定值后，自动领取讨伐值奖励。\n每周一结算排名奖励，根据当前的排名情况发送奖励。\n当角色耐力为0时，无法挑战未通关关卡，角色耐力每次重置时恢复。\n每日仅可挑战boss4次。\n使用自动战斗可还原最高纪录的80%。\n自动战斗将会扣除记录中编队成员耐力，并消耗当日次数。
BossSingleAutoFightDesc	使用自动战斗可还原最高纪录的80%。\n自动战斗将会扣除记录中编队成员耐力，并消耗当日次数。\n自动战斗刷新周期内可使用5次。
BossSingleAutoFightRateDesc	该处讨伐值为原记录的<color=#0e70bd>{0}</color>
BossSingleAutoFightCount2	自动作战       {0}/{1}
BossSingleAutoFightCount1	自动作战
BossSingleAutoFightCount3	自动作战次数不足
ChatNotAllowed	(〃'▽'〃) 
DormVilityTxt	<color=#FFFFFFFF>体力: <size=20>{0}/{1}</size></color>
FurnitureZeroCoin	家具币不足
TaskStoryNoTask	已完成当前剧情任务
InTeamCantLookExhibition	联机房间中不能进入构造体军团
InTeamCantLookDorm	联机房间中不能进入宿舍
DormNullFurniture	暂无家具
DormNullEnmey	暂无侵蚀体
DormNullCharacter	暂无构造体
DormNullDraft	暂无图纸
LoginNetworkError	登录网络错误
LoginHttpError	登录网络错误
DormVitalityRecovery	体力恢复 <color=#0E70BDFF>+{0}/h</color>
DormMoodRecovery	心情恢复 <color=#0E70BDFF>+{0}/h</color>
DormNextRecovery	下级条件
DormMaxRecovery	顶级
DormNextRecovery2	下级效果
DormVitalityRecovery1	体力恢复 <color=#B04141FF>-{0}/h</color>
DormMoodRecovery1	心情恢复 <color=#B04141FF>-{0}/h</color>
DormRecovery1	<color=#0E70BDFF>{0}</color>
DormRecovery2	<color=#B04141FF>{0}</color>
EquipStrengthenAutoSelectEmpty	暂无可选择装备
DayOfGetMedal	嘉奖日：{0}
MedalNumber	全球第{0}枚
AccumulateMonyDes	累计购买虹卡{0}
PurchaseLBRewardTips	持续奖励通过邮件发放
ChangeNameLimitHour	改名冷却时间还剩 {0} 小时
ChangeNameLimitHourMin	改名冷却时间还剩 {0} 小时 {1} 分钟
TaskLeftDay	剩余<color=#0e70bd> {0} </color>天
TypeItem	道具
TypeCharacter	构造体
TypeWeapon	武器
TypeWafer	意识
TypeFashion	涂装
TypeFurniture	家具
TypeHeadPortrait	头像
ToOtherThing	(已化为{0})
DrawLogCpunt	仅显示最近{0}条记录
DrawLogTittle	获取途径
FightQualityLowest	偏低
FightQualityMiddle	中等
FightQualityLow	一般
FightQualityHight	高
FightQualityHightest	最佳
ActivityBriefTotalTime	活动时间：{0}-{1}
ActivityBriefFightTime	作战时间：{0}-{1}
ActivityBriefShopTime	商店时间：{0}-{1}
ActivityBriefLeftTime	剩余{0}
ActivityBriefShopLeftTime	（商店剩余：{0}）
ActivityBriefTaskLeftTime	（任务剩余：{0}）
ActivityBriefNoTask	当前暂无任务
ActivityBriefMainlineNotInTime	活动未开启
ActivityBriefTaskMissionInfo	任务详情
ActivityBriefTaskDesc	可通过以下途径获取【空间作战日志】\n\n质量流失：关卡首通奖励（普通/挑战）\n黑闪：关卡首通奖励\n日志奖励：部分任务获取
ActivityBriefPrequelNotInTime	活动未开启
ChannelLabel	频道
ChannelNumberLabel	（{0}人）
ChannelChanged	进入 [ <color=#78e1ff>{0}</color> ] 频道
DrawNewHandCount	当前次数：{0}
PurchasePayFirstGetText	首次双倍
BfrtStatePassed	已占领
BfrtStateNotPassed	占领中
FurnitureBuildingListFull	家具制造队列已满
SetInputStart	请输入按键(支持组合按键)
SetInputFirstKey	(松开即可录入)
FurnitureBuildStart	开始建造家具
EquipResonanceConsumeItemCount	消耗X{0}
DormVistorFriend	好友列表
DormVistorStranger	访客列表
UseBattery	请选择血清组
RecActPoint	({0}后恢复1毫升血清)
Forever	永久
DormReNameErrorNoChange	宿舍名称与之前相同
AutoFightDialogTitle	自动作战
AutoFightDialogDescription	可获得对应等级的资源副本中50%-80%性价比的资源材料。
TaskDoNotFinish	任务未完成
TaskAlreadyFinish	奖励已领取
DrawResetTimeActivity	<size=40><color=#FFFFFFFF>活动结束剩余:</color></size>{0}
DrawResetTimeOldActivity	<size=40><color=#FFFFFFFF>活动结束剩余:</color></size>{0}
DisableJoystickError	教学关卡暂不支持手柄模式
FubenDialogTitle	行动说明
MailCountText	容量:<size=40><color=#0e70bd>{0}</color></size>/{1}
SetJoyStickSuccess	设置成功
SetJoyStickError	设置失败，有重复按键
SignLengthError	签名不能为空
PurchaseSettOut	已售罄
HideStageIsOpen	隐藏关卡[{0}]已开启
ItemOverLimit	超过储存上限的物品已发送至邮箱
OverLimitCanNotUse	使用后血清数量将会超出上限，暂无法使用
FunctionalMaintain	功能维护中
MaxNameLengthTips	名字长度超过{0}个字符
DormNameMaxNameLengthTips	宿舍名字长度超过{0}个字符
MaxSignLengthTips	签名长度超过{0}个字符
DormScoreAttrADes	<size=28><color=#AD3434FF>{0}</color></size>
DormScoreAttrBDes	<size=28><color=#D58216FF>{0}</color></size>
DormScoreAttrCDes	<size=28><color=#0A77b9FF>{0}</color></size>
FestivalNotInActivity	活动已结束
DormWorkNoMoodTips	心情值不足，无法使用代工
DormDaiGongWarnTips	无法一键代工
DormTxtDaigongDes	消耗<color=#0f70bc>60</color>点心情值寻找代工，可额外获得<color=#0f70bc>10</color>家具币
BatteryLeftTime	血清组剩余时间：{0}
TimeLimitItemLeftTime	(物品过期：{0})
MailBoxIsFull	邮箱已满，以防溢出物品邮件覆盖原有邮件请先清理邮箱后再行操作
WaferBoxIsFull	意识仓库已满，请先清理仓库后再行操作
WeaponBoxIsFull	武器仓库已满，请先清理仓库后再行操作
WaferBoxWillBeFull	意识仓库将超过上限
WeaponBoxWillBeFull	武器仓库将到达上限
ItemBoxWillBeFull	该道具的持有数将到达上限
ActivityBabelTowerNotInTime	活动未开启
ActivityBabelTowerOver	活动已结束
BabelTowerNoneFight	巴别塔计划挑战阶段已经结束
BabelTowerNoneOpen	巴别塔计划已经全部结束
BabelTowerNotEnoughScore	{0}分数达到{1}开启
BabelTowerCurMaxScore	(最高{0})
BabelTowerLeftTimeDesc	剩余时间：
BabelTowerNoneCharacter	当前没有构造体可以出战
BabelTowerLevelDesc	Lv:{0}
BabelTowerResetDesc	清除记录
BabelTowerIsResetDesc	清除记录后，将会清除本关获得的战略等级，同时解锁已被使用的角色\n是否清除关卡【{0}】的记录
BabelTowerCharacterLock	出战阵容中有构造体已被锁定
BabelTowerPleaseSelectALeader	需要选择一位构造体作为队长
BabelTowerPassLastGuide	通关上一等级阶段解锁
BabelTowerGuideStageCanntSelect	当前目标战略选项已被锁定
BabelTowerActivityTimeLeft	活动时间剩余：
ResidueStockText	库存：{0}
AlreadyobtainedCount	<size=40><color=#0f70bc>{0}</color></size>/{1}
PurchaseLimitBuy	限购{0}/{1}
GachaIsNotOpen	功能尚未开启
GachaIsClose	功能已关闭
GachaIsNotEnough	奖励库存不足
BabelTowerStageResetSucceed	关卡【{0}】清除记录成功
BabelTowerStageWipeOutSucceed	关卡【{0}】恢复记录成功
BabelTowerStageShowDesc	最高战略等级：{0}
