Id	SubIds[0]	SubIds[1]	SubIds[2]	SubIds[3]	SubIds[4]	SubIds[5]	SubIds[6]	SubIds[7]	SubIds[8]	SubIds[9]	SubIds[10]	SubIds[11]	SubIds[12]	SubIds[13]	SubIds[14]	SubIds[15]	SubIds[16]	SubIds[17]	SubIds[18]	SubIds[19]	SubIds[20]	SubIds[21]	SubIds[22]	SubIds[23]	SubIds[24]	SubIds[25]	SubIds[26]	SubIds[27]	SubIds[28]	SubIds[29]	SubIds[30]	SubIds[31]	SubIds[32]	SubIds[33]	SubIds[34]	SubIds[35]	SubIds[36]	SubIds[37]	SubIds[38]	SubIds[39]	SubIds[40]	SubIds[41]	SubIds[42]	SubIds[43]	SubIds[44]	SubIds[45]	SubIds[46]	SubIds[47]	SubIds[48]	SubIds[49]	SubIds[50]	SubIds[51]	SubIds[52]	SubIds[53]	SubIds[54]	SubIds[55]
100188	1000170	1001881	1001881																																																					
100189	1000170	1001891	1001891																																																					
100190	1000170	1001901																																																						
100191	1000170	1001911																																																						
100192	1000170	1001921	1001921																																																					
100193	1000170	1001931	1001931																																																					
100194	1000170	1001941	1001941																																																					
100195	1000170	1001951	1001952																																																					
100196	1000170	1001961	1001961																																																					
100197	1000170	1001971																																																						
100198	1000170	1001981	1001981																																																					
100199	1000170	1001991	1001991																																																					
100200	1000170	1002001	1002001																																																					
100201	1000170	1002011	1002011																																																					
100202	1000170	1002021																																																						
100203	1000170	1002031																																																						
100204	1000170	1002041	1002041																																																					
100205	1000170	1002051	1002052																																																					
100206	1000170	1002061	1002061																																																					
100207	1000170	1002071	1002071																																																					
100208	1000170	1002081	1002081																																																					
100209	1000170	1002091	1002091																																																					
100210	1000170	1002101																																																						
100211	1000170	1002111																																																						
100212	1000170	1002121	1002121																																																					
100213	1000170	1002131	1002132																																																					
100220	1000000	1002201	1002201																																																					
100221	1000170	1002211	1002211																																																					
100222	1000170	1002221	1002221																																																					
100223	1000170	1002231	1002231																																																					
100224	1000170	1002241	1002241																																																					
100225	1000170	1002251	1002251																																																					
100226	1000170	1002261	1002261																																																					
100227	1000170	1002271	1002271																																																					
100228	1000170	1002281	1002281																																																					
100229	1000170	1002291	1002291																																																					
100230	1000170	1002301	1002301																																																					
100231	1000170	1002311	1002311																																																					
100232	1000170	1002321	1002321																																																					
100233	1000170	1002331	1002331																																																					
100234	1000170	1002341	1002341																																																					
100235	1000170	1002351	1002351																																																					
300000	3000000																																																							
300001	3000010																																																							
300002	3000020																																																							
300003	3000030																																																							
300005	3000050																																																							
300006	3000060																																																							
300007	3000070																																																							
300008	3000080																																																							
300009	3000090																																																							
300010	3000100																																																							
300011	3000110																																																							
300012	3000120																																																							
300013	3000130																																																							
300014	3000140																																																							
300015	3000150																																																							
300016	3000160																																																							
300017	3000170																																																							
300018	3000180																																																							
300019	3000190																																																							
300020	3000200																																																							
300021	3000210																																																							
300022	3000220																																																							
300023	3000230																																																							
300024	3000240																																																							
300025	3000250																																																							
300026	3000260																																																							
300027	3000270																																																							
300028	3000280																																																							
300029	3000290																																																							
300030	3000300																																																							
300031	3000310																																																							
300032	3000320																																																							
300033	3000330																																																							
300034	3000340																																																							
300035	3000350																																																							
300036	3000360																																																							
300037	3000370																																																							
300038	3000380																																																							
300039	3000390																																																							
300040	3000400																																																							
300041	3000410																																																							
300042	3000420																																																							
300043	3000430																																																							
300044	3000440																																																							
300045	3000450																																																							
300046	3000460																																																							
300047	3000470																																																							
300048	3000480																																																							
300049	3000490																																																							
300050	3000500																																																							
1001001	10010010	10010011																																																						
1001002	10010020	10010021																																																						
1001003	10010030	10010031	10010032																																																					
1001004	10010040	10010041	10010042																																																					
1002001	10020010	10020011																																																						
1002002	10020020	10020021																																																						
1002003	10020030	10020031	10020032																																																					
1002004	10020040	10020041	10020042																																																					
1003001	10030010	10030011																																																						
1003002	10030020	10030021																																																						
1003003	10030030	10030031	10030032																																																					
1003004	10030040	10030041	10030042																																																					
1004001	10040010	10040011																																																						
1004002	10040020	10040021																																																						
1004003	10040030	10040031	10040032																																																					
1004004	10040040	10040041	10040042																																																					
1005001	10050010	10050011																																																						
1005002	10050020	10050021																																																						
1005003	10050030	10050031	10050032																																																					
1005004	10050040	10050041	10050042																																																					
1006001	10060010	10060011																																																						
1006002	10060020	10060021																																																						
1006003	10060030	10060031	10060032																																																					
1006004	10060040	10060041	10060042																																																					
1007001	10070010	10070011																																																						
1007002	10070020	10070021																																																						
1007003	10070030	10070031	10070032																																																					
1007004	10070040	10070041	10070042																																																					
1008001	10080010	10080011																																																						
1008002	10080020	10080021																																																						
1008003	10080030	10080031	10080032																																																					
1008004	10080040	10080041	10080042																																																					
1101001	11010010	11010011																																																						
1101002	11010020	11010021																																																						
1101003	11010030	11010031	11010032																																																					
1101004	11010040	11010041	11010042																																																					
1102001	11020010	11020011																																																						
1102002	11020020	11020021																																																						
1102003	11020030	11020031	11020032																																																					
1102004	11020040	11020041	11020042																																																					
1103001	11030010	11030011																																																						
1103002	11030020	11030021																																																						
1103003	11030030	11030031	11030032																																																					
1103004	11030040	11030041	11030042																																																					
1104001	11040010	11040011																																																						
1104002	11040020	11040021																																																						
1104003	11040030	11040031	11040032																																																					
1104004	11040040	11040041	11040042																																																					
1105001	11050010	11050011																																																						
1105002	11050020	11050021																																																						
1105003	11050030	11050031	11050032																																																					
1105004	11050040	11050041	11050042																																																					
1106001	11060010	11060011																																																						
1106002	11060020	11060021																																																						
1106003	11060030	11060031	11060032																																																					
1106004	11060040	11060041	11060042																																																					
1107001	11070010	11070011																																																						
1107002	11070020	11070021																																																						
1107003	11070030	11070031	11070032																																																					
1107004	11070040	11070041	11070042																																																					
1108001	11080010	11080011																																																						
1108002	11080020	11080021																																																						
1108003	11080030	11080031	11080032																																																					
1108004	11080040	11080041	11080042																																																					
700000	7000000																																																							
700001	7000010																																																							
700002	7000020																																																							
700003	7000030																																																							
700004	7000040																																																							
700005	7000050																																																							
700006	7000060																																																							
700007	7000070																																																							
700008	7000080																																																							
700009	7000090																																																							
700010	7000100																																																							
700011	7000110																																																							
700012	7000120																																																							
700013	7000130																																																							
700014	7000140																																																							
700015	7000150																																																							
700016	7000160																																																							
700017	7000170																																																							
3011	30110																																																							
3012	30120																																																							
3013	30130																																																							
3014	30140																																																							
3015	30150																																																							
3016	30160																																																							
3017	30170																																																							
3018	30180																																																							
3019	30190																																																							
3021	30210																																																							
3022	30220																																																							
3023	30230																																																							
3024	30240																																																							
3031	30310																																																							
3032	30320																																																							
3040	30400																																																							
3051	30510																																																							
3052	30520																																																							
3053	30530																																																							
3054	30540																																																							
3055	30550																																																							
3056	30560																																																							
3057	30570																																																							
3058	30580																																																							
3059	30590																																																							
3061	30610																																																							
3062	30620																																																							
3063	30630																																																							
3064	30640																																																							
3065	30650																																																							
3066	30660																																																							
3067	30670																																																							
3068	30680																																																							
3069	30690																																																							
3071	30710																																																							
3072	30720																																																							
3073	30730																																																							
3074	30740																																																							
3081	30810																																																							
3082	30820																																																							
3091	30910																																																							
3092	30920																																																							
3093	30930																																																							
3094	30940																																																							
3095	30950																																																							
3096	30960																																																							
3097	30970																																																							
3098	30980																																																							
3099	30990																																																							
3101	31010																																																							
3102	31020																																																							
3103	31030																																																							
3104	31040																																																							
3105	31050																																																							
3106	31060																																																							
3107	31070																																																							
3108	31080																																																							
3109	31090																																																							
3111	31110																																																							
3112	31120																																																							
3113	31130																																																							
3114	31140																																																							
3121	31210																																																							
3122	31220																																																							
3131	31310																																																							
3132	31320																																																							
3133	31330																																																							
3134	31340																																																							
3135	31350																																																							
3136	31360																																																							
3137	31370																																																							
3138	31380																																																							
3139	31390																																																							
3141	31410																																																							
3142	31420																																																							
3143	31430																																																							
3144	31440																																																							
3145	31450																																																							
3146	31460																																																							
3147	31470																																																							
3148	31480																																																							
3149	31490																																																							
3151	31510																																																							
3152	31520																																																							
3153	31530																																																							
3154	31540																																																							
3161	31610																																																							
3162	31620																																																							
3171	31710																																																							
3172	31720																																																							
3173	31730																																																							
3174	31740																																																							
3175	31750																																																							
3176	31760																																																							
3177	31770																																																							
3178	31780																																																							
3179	31790																																																							
3181	31810																																																							
3182	31820																																																							
3183	31830																																																							
3184	31840																																																							
3185	31850																																																							
3186	31860																																																							
3187	31870																																																							
3188	31880																																																							
3189	31890																																																							
3191	31910																																																							
3192	31920																																																							
3193	31930																																																							
3194	31940																																																							
3201	32010																																																							
3202	32020																																																							
3211	32110																																																							
3212	32120																																																							
3213	32130																																																							
3214	32140																																																							
3215	32150																																																							
3216	32160																																																							
3217	32170																																																							
3218	32180																																																							
3219	32190																																																							
3221	32210																																																							
3222	32220																																																							
3223	32230																																																							
3224	32240																																																							
3225	32250																																																							
3226	32260																																																							
3227	32270																																																							
3228	32280																																																							
3229	32290																																																							
3231	32310																																																							
3232	32320																																																							
3233	32330																																																							
3234	32340																																																							
3241	32410																																																							
3242	32420																																																							
3251	32510																																																							
3252	32520																																																							
3253	32530																																																							
3254	32540																																																							
3255	32550																																																							
3256	32560																																																							
3257	32570																																																							
3258	32580																																																							
3259	32590																																																							
3261	32610																																																							
3262	32620																																																							
3263	32630																																																							
3264	32640																																																							
3265	32650																																																							
3266	32660																																																							
3267	32670																																																							
3268	32680																																																							
3269	32690																																																							
3271	32710																																																							
3272	32720																																																							
3273	32730																																																							
3274	32740																																																							
3281	32810																																																							
3282	32820																																																							
3291	32910																																																							
3292	32920																																																							
3293	32930																																																							
3294	32940																																																							
3295	32950																																																							
3296	32960																																																							
3297	32970																																																							
3298	32980																																																							
3299	32990																																																							
3301	33010																																																							
3302	33020																																																							
3303	33030																																																							
3304	33040																																																							
3305	33050																																																							
3306	33060																																																							
3307	33070																																																							
3308	33080																																																							
3309	33090																																																							
3311	33110																																																							
3312	33120																																																							
3313	33130																																																							
3314	33140																																																							
3321	33210																																																							
3322	33220																																																							
3331	33310																																																							
3332	33320																																																							
3333	33330																																																							
3334	33340																																																							
3335	33350																																																							
3336	33360																																																							
3337	33370																																																							
3338	33380																																																							
3339	33390																																																							
3341	33410																																																							
3342	33420																																																							
3343	33430																																																							
3344	33440																																																							
3345	33450																																																							
3346	33460																																																							
3347	33470																																																							
3348	33480																																																							
3349	33490																																																							
3351	33510																																																							
3352	33520																																																							
3353	33530																																																							
3354	33540																																																							
3361	33610																																																							
3362	33620																																																							
30010101	300101010																																																							
30010102	300101020																																																							
30010103	300101031	300101030																																																						
30010104	300101041	300101040																																																						
30050101	300501010																																																							
30050201	300502010																																																							
10010101	100101010	100101011	100101014	100101013																																																				
10010102	100101010	100101021	100101024	100101023																																																				
10010103	100101010	100101031	100101034	100101033	100101035																																																			
10010104	100101010	100101041	100101044	100101043																																																				
10010105	100101010	100101051	100101054	100101053																																																				
10010106	100101010	100101061	100101064	100101063																																																				
10010107	100101010	100101071	100101074	100101073																																																				
10010108	100101085	100101081	100101084	100101083																																																				
10010109	100101010	100101091	100101094	100101093	100101105																																																			
10010110	100101010	100101101	100101104	100101103																																																				
10010111	100101010	100101111	100101114	100101113																																																				
10010112	100101010	100101121	100101124	100101123																																																				
10020101	100101010	100201011	100201014	100201013																																																				
10020102	100101010	100201021	100201024	100201023																																																				
10020103	100101010	100201031	100201034	100201033																																																				
10020104	100101010	100201041	100201044	100201043																																																				
10020105	100101010	100201051	100201054	100201053																																																				
10020106	100101010	100201061	100201064	100201063																																																				
10020107	100101010	100201071	100201074	100201073																																																				
10020108	100101010	100201081	100201084	100201083																																																				
10020109	100101010	100201091	100201094	100201093																																																				
10020110	100101010	100201101	100201104	100201103																																																				
10020111	100101010	100201111	100201114	100201113																																																				
10020112	100101010	100201121	100201124	100201123																																																				
10030101	100101010	100301011	100301014	100301013																																																				
10030102	100101010	100301021	100301024	100301023																																																				
10030103	100101010	100301031	100301034	100301033																																																				
10030104	100101010	100301041	100301044	100301043																																																				
10030105	100101010	100301051	100301054	100301053																																																				
10030106	100101010	100301061	100301064	100301063																																																				
10030107	100101010	100301071	100301074	100301073	100301075																																																			
10030108	100101010	100301081	100301084	100301083																																																				
10030109	100101010	100301091	100301094	100301093																																																				
10030110	100101010	100301101	100301104	100301103																																																				
10030111	100101010	100301111	100301114	100301113																																																				
10030112	100101010	100301121	100301124	100301123																																																				
10040101	100101010	100401011	100401014	100401013																																																				
10040102	100101010	100401021	100401024	100401023																																																				
10040103	100101010	100401031	100401034	100401033																																																				
10040104	100101010	100401041	100401044	100401043																																																				
10040105	100101010	100401051	100401054	100401053																																																				
10040106	100101010	100401061	100401064	100401063																																																				
10040107	100101010	100401071	100401074	100401073																																																				
10040108	100101010	100401081	100401084	100401083																																																				
10040109	100101010	100401091	100401094	100401093																																																				
10040110	100101010	100401101	100401104	100401103																																																				
10040111	100101010	100401111	100401114	100401113																																																				
10040112	100101010	100401121	100401124	100401123																																																				
10050101	100101010	100501011	100501014	100501013																																																				
10050102	100101010	100501021	100501024	100501023																																																				
10050103	100101010	100501031	100501034	100501033																																																				
10050104	100101010	100501041	100501044	100501043																																																				
10050105	100101010	100501051	100501054	100501053																																																				
10050106	100101010	100501061	100501064	100501063																																																				
10050107	100101010	100501071	100501074	100501073																																																				
10050108	100101010	100501081	100501084	100501083																																																				
10050109	100101010	100501091	100501094	100501093																																																				
10050110	100101010	100501101	100501104	100501103																																																				
10050111	100101010	100501111	100501114	100501113																																																				
10050112	100101010	100501121	100501124	100501123																																																				
10060101	100101010	100601011	100601014	100601013																																																				
10060102	100101010	100601021	100601024	100601023																																																				
10060103	100101010	100601031	100601034	100601033																																																				
10060104	100101010	100601041	100601044	100601043																																																				
10060105	100101010	100601051	100601054	100601053																																																				
10060106	100101010	100601061	100601064	100601063																																																				
10060107	100101010	100601071	100601074	100601073																																																				
10060108	100101010	100601081	100601084	100601083																																																				
10060109	100101010	100601091	100601094	100601093																																																				
10060110	100101010	100601101	100601104	100601103																																																				
10060111	100101010	100601111	100601114	100601113																																																				
10060112	100101010	100601121	100601124	100601123																																																				
10070101	100101010	100701011	100701014	100701013																																																				
10070102	100101010	100701021	100701024	100701023																																																				
10070103	100101010	100701031	100701034	100701033																																																				
10070104	100101010	100701041	100701044	100701043																																																				
10070105	100101010	100701051	100701054	100701053																																																				
10070106	100101010	100701061	100701064	100701063																																																				
10070107	100101010	100701071	100701074	100701073																																																				
10070108	100101010	100701081	100701084	100701083																																																				
10070109	100101010	100701091	100701094	100701093																																																				
10070110	100101010	100701101	100701104	100701103																																																				
10070111	100101010	100701111	100701114	100701113																																																				
10070112	100101010	100701121	100701124	100701123																																																				
10080101	100101010	100801011	100801014	100801013																																																				
10080102	100101010	100801021	100801024	100801023																																																				
10080103	100101010	100801031	100801034	100801033																																																				
10080104	100101010	100801041	100801044	100801043																																																				
10080105	100101010	100801051	100801054	100801053																																																				
10080106	100101010	100801061	100801064	100801063																																																				
10080107	100101010	100801071	100801074	100801073																																																				
10080108	100101010	100801081	100801084	100801083																																																				
10080109	100101010	100801091	100801094	100801093																																																				
10080110	100101010	100801101	100801104	100801103																																																				
10080111	100101010	100801111	100801114	100801113																																																				
10080112	100101010	100801121	100801124	100801123																																																				
11010101	110101010	110101011	110101014	110101013																																																				
11010102	110101010	110101021	110101024	110101023																																																				
11010103	110101010	110101031	110101034	110101033																																																				
11010104	110101010	110101041	110101044	110101043																																																				
11010105	110101010	110101051	110101054	110101053																																																				
11010106	110101010	110101061	110101064	110101063																																																				
11020101	110101010	110201011	110201014	110201013																																																				
11020102	110101010	110201021	110201024	110201023																																																				
11020103	110101010	110201031	110201034	110201033																																																				
11020104	110101010	110201041	110201044	110201043																																																				
11020105	110101010	110201051	110201054	110201053																																																				
11020106	110101010	110201061	110201064	110201063																																																				
11030101	110101010	110301011	110301014	110301013																																																				
11030102	110101010	110301021	110301024	110301023																																																				
11030103	110101010	110301031	110301034	110301033																																																				
11030104	110101010	110301041	110301044	110301043																																																				
11030105	110101010	110301051	110301054	110301053																																																				
11030106	110101010	110301061	110301064	110301063																																																				
11040101	110101010	110401011	110401014	110401013																																																				
11040102	110101010	110401021	110401024	110401023																																																				
11040103	110101010	110401031	110401034	110401033																																																				
11040104	110101010	110401041	110401044	110401043																																																				
11040105	110101010	110401051	110401054	110401053																																																				
11040106	110101010	110401061	110401064	110401063																																																				
11050101	110101010	110501011	110501014	110501013																																																				
11050102	110101010	110501021	110501024	110501023																																																				
11050103	110101010	110501031	110501034	110501033																																																				
11050104	110101010	110501041	110501044	110501043																																																				
11050105	110101010	110501051	110501054	110501053																																																				
11050106	110101010	110501061	110501064	110501063																																																				
11060101	110101010	110601011	110601014	110601013																																																				
11060102	110101010	110601021	110601024	110601023																																																				
11060103	110101010	110601031	110601034	110601033																																																				
11060104	110101010	110601041	110601044	110601043																																																				
11060105	110101010	110601051	110601054	110601053																																																				
11060106	110101010	110601061	110601064	110601063																																																				
11070101	110101010	110701011	110701014	110701013																																																				
11070102	110101010	110701021	110701024	110701023																																																				
11070103	110101010	110701031	110701034	110701033																																																				
11070104	110101010	110701041	110701044	110701043																																																				
11070105	110101010	110701051	110701054	110701053																																																				
11070106	110101010	110701061	110701064	110701063																																																				
11080101	110101010	110801011	110801014	110801013																																																				
11080102	110101010	110801021	110801024	110801023																																																				
11080103	110101010	110801031	110801034	110801033																																																				
11080104	110101010	110801041	110801044	110801043																																																				
11080105	110101010	110801051	110801054	110801053																																																				
11080106	110101010	110801061	110801064	110801063																																																				
100101010	1001010101	1001010102																																																						
100101020	1001010201	1001010102																																																						
100101030	1001010100	1001010301	1001010102																																																					
100101040	1001010100	1001010401	1001010102																																																					
100101050	1001010100	1001010501	1001010102																																																					
100101060	1001010100	1001010601	1001010102																																																					
100101070	1001010100	1001010701	1001010102																																																					
100101080	1001010100	1001010801	1001010102																																																					
100101090	1001010100	1001010901	1001010102																																																					
100101100	1001010100	1001011001	1001010102																																																					
100101110	1001010100	1001011101	1001010102																																																					
100101120	1001010100	1001011201	1001010102																																																					
100201010	1001010100	1002010101	1001010102																																																					
100201020	1001010100	1002010201	1001010102																																																					
100201030	1001010100	1002010301	1001010102																																																					
100201040	1001010100	1002010401	1001010102																																																					
100201050	1001010100	1002010501	1001010102																																																					
100201060	1001010100	1002010601	1001010102																																																					
100201070	1001010100	1002010701	1001010102																																																					
100201080	1001010100	1002010801	1001010102																																																					
100201090	1001010100	1002010901	1001010102																																																					
100201100	1001010100	1002011001	1001010102																																																					
100201110	1001010100	1002011101	1001010102																																																					
100201120	1001010100	1002011201	1001010102																																																					
100301010	1001010100	1003010101	1001010102																																																					
100301020	1001010100	1003010201	1001010102																																																					
100301030	1001010100	1003010301	1001010102																																																					
100301040	1001010100	1003010401	1001010102																																																					
