Id	Name	Description	WorldDesc	BigIcon	Icon	ItemType	Quality	Priority	MaxCount	GridCount	TimelinessType	StartTime	Duration	RecycleRewardId	SellForId	SellForCount	RecType	RecTime	RecCount	SkipIdParams[0]	SkipIdParams[1]	SkipIdParams[2]	SkipIdParams[3]	SkipIdParams[4]	SkipIdParams[5]	SubTypeParams[0]	SubTypeParams[1]	SubTypeParams[2]	SubTypeParams[3]	SubTypeParams[4]	SubTypeParams[5]	SubTypeParams[6]	SubTypeParams[7]
10006	3星武器掉落	可能掉落3星武器一件。		Assets/Product/Texture/Image/IconTools/ItWeaponPreview03.png	Assets/Product/Texture/Image/IconToolsSp/ItWeaponPreview03Sp.png	4	3	50	999	999					1	10																	
10007	2星武器掉落	可能掉落2星武器一件。		Assets/Product/Texture/Image/IconTools/ItWeaponPreview02.png	Assets/Product/Texture/Image/IconToolsSp/ItWeaponPreview02Sp.png	4	2	50	999	999					1	10																	
10008	1星装备掉落	可能掉落1星装备一件。		Assets/Product/Texture/Image/IconTools/ItWeaponPreview01.png	Assets/Product/Texture/Image/IconToolsSp/ItWeaponPreview01Sp.png	4	1	50	999	999					1	10																	
10009	5星意识掉落	可能掉落5星意识一件。		Assets/Product/Texture/Image/IconTools/ItWaferPreview05.png	Assets/Product/Texture/Image/IconToolsSp/ItWaferPreview05Sp.png	4	5	50	999	999					1	10																	
10010	4星意识掉落	可能掉落4星意识一件。		Assets/Product/Texture/Image/IconTools/ItWaferPreview04.png	Assets/Product/Texture/Image/IconToolsSp/ItWaferPreview04Sp.png	4	4	50	999	999					1	10																	
10011	3星意识掉落	可能掉落3星意识一件。		Assets/Product/Texture/Image/IconTools/ItWaferPreview03.png	Assets/Product/Texture/Image/IconToolsSp/ItWaferPreview03Sp.png	4	3	50	999	999					1	10																	
10012	2星意识掉落	可能掉落2星意识一件。		Assets/Product/Texture/Image/IconTools/ItWaferPreview02.png	Assets/Product/Texture/Image/IconToolsSp/ItWaferPreview02Sp.png	4	2	50	999	999					1	10																	
10013	5星装备掉落	可能掉落5星装备一件。		Assets/Product/Texture/Image/IconTools/ItEquipPreview05.png	Assets/Product/Texture/Image/IconToolsSp/ItEquipPreview05Sp.png	4	5	50	999	999					1	10																	
10014	4星装备掉落	可能掉落4星装备一件。		Assets/Product/Texture/Image/IconTools/ItEquipPreview04.png	Assets/Product/Texture/Image/IconToolsSp/ItEquipPreview04Sp.png	4	4	50	999	999					1	10																	
10015	3星装备掉落	可能掉落3星装备一件。		Assets/Product/Texture/Image/IconTools/ItEquipPreview03.png	Assets/Product/Texture/Image/IconToolsSp/ItEquipPreview03Sp.png	4	3	50	999	999					1	10																	
10016	2星装备掉落	可能掉落2星装备一件		Assets/Product/Texture/Image/IconTools/ItEquipPreview02.png	Assets/Product/Texture/Image/IconToolsSp/ItEquipPreview02Sp.png	4	2	50	999	999					1	10																	
10017	1星装备掉落	可能掉落1星装备一件。		Assets/Product/Texture/Image/IconTools/ItEquipPreview01.png	Assets/Product/Texture/Image/IconToolsSp/ItEquipPreview01Sp.png	4	1	50	999	999					1	10																	
10018	2-4星装备掉落	可能掉落2-4星装备。		Assets/Product/Texture/Image/IconTools/ItEquipPreview03.png	Assets/Product/Texture/Image/IconToolsSp/ItEquipPreview03Sp.png	4	3	50	999	999					1	10																	
10034	高级突破材料	可能掉落高级突破材料。	特别的机体素材，一般情况下相当难入手。	Assets/Product/Texture/Image/IconTools/ItCaseBreach002.png	Assets/Product/Texture/Image/IconToolsSp/ItCaseBreach002Sp.png	4	5	50	999	999					1	10																	
10035	低级突破材料	可能掉落低级突破材料。	特别的机体素材，一般情况下相当难入手。	Assets/Product/Texture/Image/IconTools/ItCaseBreach001.png	Assets/Product/Texture/Image/IconToolsSp/ItCaseBreach001Sp.png	4	4	50	999	999					1	10																	
10036	橙色基地装备	可能掉落对应品质基地装备。	灰鸦基地大都使用地表资源再加工建成，但这些资源往往也需要长时间搜寻。	Assets/Product/Texture/Image/IconTools/ItCaseI020010.png	Assets/Product/Texture/Image/IconToolsSp/ItCaseI020010Sp.png	4	5	50	999	999					1	40																	
10037	紫色基地装备	可能掉落对应品质基地装备。	灰鸦基地大都使用地表资源再加工建成，但这些资源往往也需要长时间搜寻。	Assets/Product/Texture/Image/IconTools/ItCaseI020010.png	Assets/Product/Texture/Image/IconToolsSp/ItCaseI020010Sp.png	4	4	50	999	999					1	20																	
10038	蓝色基地装备	可能掉落对应品质基地装备。	灰鸦基地大都使用地表资源再加工建成，但这些资源往往也需要长时间搜寻。	Assets/Product/Texture/Image/IconTools/ItCaseI020010.png	Assets/Product/Texture/Image/IconToolsSp/ItCaseI020010Sp.png	4	3	50	999	999					1	10																	
10039	3-6星装备掉落	可能掉落3-6星装备一件。	在战场上偶尔能获得的一些无主的装备。	Assets/Product/Texture/Image/IconTools/ItEquipPreview06.png	Assets/Product/Texture/Image/IconToolsSp/ItEquipPreview06Sp.png	4	5	50	999	999					1	10																	
10040	3-5星装备掉落	可能掉落3-5星装备一件。	在战场上偶尔能获得的一些无主的装备。	Assets/Product/Texture/Image/IconTools/ItEquipPreview05.png	Assets/Product/Texture/Image/IconToolsSp/ItEquipPreview05Sp.png	4	5	50	999	999					1	10																	
10041	伏尔泰套装掉落	任意伏尔泰意识一件。	某位曾经存在的伟人的意识芯片，组合后能在攻击敌人的同时减少敌人的防御。	Assets/Product/Texture/Image/IconTools/EFuertaiI01001.png	Assets/Product/Texture/Image/IconToolsSp/EFuertaiI01001Sp.png	4	5	50	999	999					1	10																	
10042	歌罗达套装掉落	任意歌罗达意识一件。	某位曾经存在的伟人的意识芯片，组合后能在攻击敌人的同时为敌人添加不同的属性减益。	Assets/Product/Texture/Image/IconTools/EGeluodaI01001.png	Assets/Product/Texture/Image/IconToolsSp/EGeluodaI01001Sp.png	4	5	50	999	999					1	10																	
10043	黎塞留套装掉落	任意黎塞留意识一件。	某位曾经存在的伟人的意识芯片，组合后能使构造体进行治疗时为目标带来物理增益。	Assets/Product/Texture/Image/IconTools/ELisailiuI01001.png	Assets/Product/Texture/Image/IconToolsSp/ELisailiuI01001Sp.png	4	5	50	999	999					1	10																	
10044	萨曼达套装掉落	任意萨曼达意识一件。	某位曾经存在的伟人的意识芯片，组合后能让构造体通过使用属性攻击来扰乱战场。	Assets/Product/Texture/Image/IconTools/ESamandaI01001.png	Assets/Product/Texture/Image/IconToolsSp/ESamandaI01001Sp.png	4	5	50	999	999					1	10																	
10045	艾克套装掉落	任意艾克意识一件。	某位曾经存在的伟人的意识芯片，组合后能强化构造体本身的属性攻击。	Assets/Product/Texture/Image/IconTools/EAikeI01001.png	Assets/Product/Texture/Image/IconToolsSp/EAikeI01001Sp.png	4	5	50	999	999					1	10																	
10046	莫扎特套装掉落	任意莫扎特意识一件。	某位曾经存在的伟人的意识芯片，组合后能使构造体更自由的使用超算空间。	Assets/Product/Texture/Image/IconTools/EMozateI01001.png	Assets/Product/Texture/Image/IconToolsSp/EMozateI01001Sp.png	4	5	50	999	999					1	10																	
10047	埃尔温套装掉落	任意埃尔温意识一件。	某位曾经存在的伟人的意识芯片，组合后能够强化构造体的物理攻击。	Assets/Product/Texture/Image/IconTools/ELongmeierI01001.png	Assets/Product/Texture/Image/IconToolsSp/ELongmeierI01001Sp.png	4	5	50	999	999					1	10																	
10048	爱芙套装掉落	任意爱芙意识一件。	某位曾经存在的伟人的意识芯片，组合后使用各类技能的同时能为自己带来增益。	Assets/Product/Texture/Image/IconTools/EAifuI01001.png	Assets/Product/Texture/Image/IconToolsSp/EAifuI01001Sp.png	4	5	50	999	999					1	10																	
10049	6星装备掉落	可能掉落6星装备一件。		Assets/Product/Texture/Image/IconTools/ItEquipPreview06.png	Assets/Product/Texture/Image/IconToolsSp/ItEquipPreview06Sp.png	4	6	50	999	999					1	10																	
10050	6星武器掉落	可能掉落6星武器一件。		Assets/Product/Texture/Image/IconTools/ItWeaponPreview06.png	Assets/Product/Texture/Image/IconToolsSp/ItWeaponPreview06Sp.png	4	6	50	999	999					1	10																	
10051	6星意识掉落	可能掉落6星意识一件。		Assets/Product/Texture/Image/IconTools/ItWaferPreview06.png	Assets/Product/Texture/Image/IconToolsSp/ItWaferPreview06Sp.png	4	6	50	999	999					1	10																	
10052	意识强化素材	提升意识芯片的强化套组，根据容量大小能给意识带来不同的提升。	科学理事会将意识芯片补强的数据保存下来，用来提升其他意识芯片的强度。	Assets/Product/Texture/Image/IconTools/EGouliangI01001.png	Assets/Product/Texture/Image/IconToolsSp/EGouliangI01001Sp.png	4	1	50	999	999					1	10																	
10053	意识强化素材	提升意识芯片的强化套组，根据容量大小能给意识带来不同的提升。	科学理事会将意识芯片补强的数据保存下来，用来提升其他意识芯片的强度。	Assets/Product/Texture/Image/IconTools/EGouliangI01001.png	Assets/Product/Texture/Image/IconToolsSp/EGouliangI01001Sp.png	4	2	50	999	999					1	10																	
10054	意识强化素材	提升意识芯片的强化套组，根据容量大小能给意识带来不同的提升。	科学理事会将意识芯片补强的数据保存下来，用来提升其他意识芯片的强度。	Assets/Product/Texture/Image/IconTools/EGouliangI01001.png	Assets/Product/Texture/Image/IconToolsSp/EGouliangI01001Sp.png	4	3	50	999	999					1	10																	
10055	意识强化素材	提升意识芯片的强化套组，根据容量大小能给意识带来不同的提升。	科学理事会将意识芯片补强的数据保存下来，用来提升其他意识芯片的强度。	Assets/Product/Texture/Image/IconTools/EGouliangI01001.png	Assets/Product/Texture/Image/IconToolsSp/EGouliangI01001Sp.png	4	4	50	999	999					1	10																	
10056	意识强化素材	提升意识芯片的强化套组，根据容量大小能给意识带来不同的提升。	科学理事会将意识芯片补强的数据保存下来，用来提升其他意识芯片的强度。	Assets/Product/Texture/Image/IconTools/EGouliangI01001.png	Assets/Product/Texture/Image/IconToolsSp/EGouliangI01001Sp.png	4	5	50	999	999					1	10																	
11001	咖啡厅家具	咖啡厅风格的家具。		Assets/Product/Texture/Image/IconTools/IconDormCoffeecounter001.png	Assets/Product/Texture/Image/IconToolsSp/IconDormCoffeecounter001Sp.png	4	4	50	999	999					1	10																	
11002	和风家具	和风风格的家具。		Assets/Product/Texture/Image/IconTools/IconDormCherryfurnace001.png	Assets/Product/Texture/Image/IconToolsSp/IconDormCherryfurnace001Sp.png	4	4	50	999	999					1	10																	
11003	赛博家具	赛博风格的家具。		Assets/Product/Texture/Image/IconTools/IconDormPunkmachines001.png	Assets/Product/Texture/Image/IconToolsSp/IconDormPunkmachines001Sp.png	4	4	50	999	999					1	10																	
11004	咖啡厅图纸	咖啡厅风格的图纸。		Assets/Product/Texture/Image/IconTools/IconBlueCoffeecounter001.png	Assets/Product/Texture/Image/IconToolsSp/IconBlueCoffeecounter001Sp.png	4	4	50	999	999					1	10																	
11005	和风图纸	和风风格的图纸。		Assets/Product/Texture/Image/IconTools/IconBlueCherryscreen001.png	Assets/Product/Texture/Image/IconToolsSp/IconBlueCherryscreen001Sp.png	4	4	50	999	999					1	10																	
11006	赛博图纸	赛博风格的图纸。		Assets/Product/Texture/Image/IconTools/IconBluePunklocker001.png	Assets/Product/Texture/Image/IconToolsSp/IconBluePunklocker001Sp.png	4	4	50	999	999					1	10																	
30011	构造体经验仓·小	可用来提升构造体等级的道具，内含少量经验。	科学理事会将构造体的战斗数据转化成成熟的作战经验保存下来，用来供其他构造体进行学习。	Assets/Product/Texture/Image/IconTools/ItExpI010010.png	Assets/Product/Texture/Image/IconToolsSp/ItExpI010010Sp.png	2052	2	1000	9999	999					1	10										3	100	10000					
30012	构造体经验仓·中	可用来提升构造体等级的道具，内含一定经验。	科学理事会将构造体的战斗数据转化成成熟的作战经验保存下来，用来供其他构造体进行学习。	Assets/Product/Texture/Image/IconTools/ItExpI010020.png	Assets/Product/Texture/Image/IconToolsSp/ItExpI010020Sp.png	2052	3	1010	9999	999					1	20				10013						3	1000	10000					
30013	构造体经验仓·大	可用来提升构造体等级的道具，内含大量经验。	科学理事会将构造体的战斗数据转化成成熟的作战经验保存下来，用来供其他构造体进行学习。	Assets/Product/Texture/Image/IconTools/ItExpI010030.png	Assets/Product/Texture/Image/IconToolsSp/ItExpI010030Sp.png	2052	4	1020	9999	999					1	40				10013						3	3000	10000					
30014	构造体经验仓·特大	可用来提升构造体等级的道具，内含特大量经验。	科学理事会将构造体的战斗数据转化成成熟的作战经验保存下来，用来供其他构造体进行学习。	Assets/Product/Texture/Image/IconTools/ItExpI010031.png	Assets/Product/Texture/Image/IconToolsSp/ItExpI010031Sp.png	2052	4	1030	9999	999					1	100										3	20000	10000					
40100	突破合金·初	与其他材料融合加工后可以突破装备等级上限，对低星的装备有效。	含有微量高熵合金的强化零件，用来提升构造体装备的强度。	Assets/Product/Texture/Image/IconTools/ItExpI180010.png	Assets/Product/Texture/Image/IconToolsSp/ItExpI180010Sp.png	4	3	2100	99999	999					1	10				10022													
40103	武器突破核心·初	可以用来突破武器等级上限的关键材料，对低星的装备有效。	强化武器数据的初级运算核心，用来提升武器的强度。	Assets/Product/Texture/Image/IconTools/ItExpI190010.png	Assets/Product/Texture/Image/IconToolsSp/ItExpI190010Sp.png	4	3	2103	99999	999					1	10				10021													
40104	意识突破回路·初	可以用来突破意识等级上限的关键材料，对低星的装备有效。	拓展意识芯片运算回路的初级零件，用来提升意识的强度。	Assets/Product/Texture/Image/IconTools/ItFinalI010020.png	Assets/Product/Texture/Image/IconToolsSp/ItFinalI010020Sp.png	4	3	2104	99999	999					1	10				10021													
40110	突破合金·高	与其他材料融合加工后可以突破装备等级上限，对高星的装备有效。	含有大量高熵合金的强化零件，用来提升构造体装备的强度。	Assets/Product/Texture/Image/IconTools/ItExpI180020.png	Assets/Product/Texture/Image/IconToolsSp/ItExpI180020Sp.png	4	4	2105	99999	999					1	10				10023													
40113	武器突破核心·高	可以用来突破武器等级上限的关键材料，对高星的装备有效。	强化武器数据的高级运算核心，用来提升武器的强度。	Assets/Product/Texture/Image/IconTools/ItExpI190020.png	Assets/Product/Texture/Image/IconToolsSp/ItExpI190020Sp.png	4	4	2108	99999	999					1	10				10023													
40114	意识突破回路·高	可以用来突破意识等级上限的关键材料，对高星的装备有效。	拓展意识芯片运算回路的高级零件，用来提升意识的强度。	Assets/Product/Texture/Image/IconTools/ItFinalI020030.png	Assets/Product/Texture/Image/IconToolsSp/ItFinalI020030Sp.png	4	4	2109	99999	999					1	10				10023													
40601	阿呆蛙周边	赠送给构造体能增加信赖度，露西亚喜爱的珍贵礼物。	曾经地球上某著名玩具品牌旗下，一个设计品味饱受争议的玩偶形象的周边，由于整个系列长期滞销所以现存数量很少。	Assets/Product/Texture/Image/IconTools/ItGift0302.png	Assets/Product/Texture/Image/IconToolsSp/ItGift0302Sp.png	4	5	4601	99999	999					1	10				10007													
40602	生态球	赠送给构造体能增加信赖度，丽芙喜爱的珍贵礼物。	内含一个生机勃勃的独立小型生态圈，是空中花园中广受孩子们好评的生物学教具，虽然体积小巧但科技含量极高。	Assets/Product/Texture/Image/IconTools/ItGift0303.png	Assets/Product/Texture/Image/IconToolsSp/ItGift0303Sp.png	4	5	4602	99999	999					1	20				10007													
40603	精密工具套件	赠送给构造体能增加信赖度，里喜爱的珍贵礼物。	对电子器械进行维修养护的工具套装组。	Assets/Product/Texture/Image/IconTools/ItGift0301.png	Assets/Product/Texture/Image/IconToolsSp/ItGift0301Sp.png	4	5	4603	99999	999					1	40				10007													
40604	整人箱	赠送给构造体能增加信赖度，七实喜爱的珍贵礼物。	打开来就会跳出整蛊小机关的吓人一跳箱子。	Assets/Product/Texture/Image/IconTools/ItGift0305.png	Assets/Product/Texture/Image/IconToolsSp/ItGift0305Sp.png	4	5	4604	99999	999					1	10				10007													
40605	试作引擎	赠送给构造体能增加信赖度，卡列尼娜喜爱的珍贵礼物。	结构简单，动力强劲，但过载后爆炸的威力也很大——或许对于某些人来说并不算缺点。	Assets/Product/Texture/Image/IconTools/ItGift0307.png	Assets/Product/Texture/Image/IconToolsSp/ItGift0307Sp.png	4	5	4605	99999	999					1	20				10007													
40606	便携式游戏终端	赠送给构造体能增加信赖度，神威喜爱的珍贵礼物。	最新型的便携式游戏终端，可有效帮助你打发在任务通勤过程中的无聊时光——长期霸占积分榜榜首的是一个匿名账号，会是谁呢？	Assets/Product/Texture/Image/IconTools/ItGift0306.png	Assets/Product/Texture/Image/IconToolsSp/ItGift0306Sp.png	4	5	4606	99999	999					1	40				10007													
40607	MRE军粮	赠送给构造体能增加信赖度，渡边喜爱的珍贵礼物。	最受好评的军粮组合，包含主食和配菜，以及一小瓶咖啡。据说运气好的时候能拿到稀有的口味，例如味噌调料包。	Assets/Product/Texture/Image/IconTools/ItGift0308.png	Assets/Product/Texture/Image/IconToolsSp/ItGift0308Sp.png	4	5	4607	99999	999					1	10				10007													
40608	百合胸针	赠送给构造体能增加信赖度，比安卡喜爱的珍贵礼物。	以象征着无私与高洁的百合花作为造型的胸针。	Assets/Product/Texture/Image/IconTools/ItGift0304.png	Assets/Product/Texture/Image/IconToolsSp/ItGift0304Sp.png	4	5	4608	99999	999					1	20				10007													
40609	颜料套装	赠送给构造体能增加信赖度，艾拉喜爱的珍贵礼物。	在空中花园最受欢迎的画材品牌“莫彼利埃”旗下的颜料套装，该品牌致力于让每一个人都能从艺术中获得乐趣。——莫彼利埃，艺术家的选择。	Assets/Product/Texture/Image/IconTools/ItGift0309.png	Assets/Product/Texture/Image/IconToolsSp/ItGift0309Sp.png	4	5	4609	99999	999					1	20				10007													
40681	畅销小说	赠送给构造体能增加信赖度，大家都喜爱的普通礼物。	跨世纪连载的漫画作品，描绘了人类对抗帕弥什病毒各个阶段的故事，无论是在地面上还是空中花园都保持着很高的人气。	Assets/Product/Texture/Image/IconTools/ItGift0201.png	Assets/Product/Texture/Image/IconToolsSp/ItGift0201Sp.png	4	3	2500	99999	999					1	20																	
40682	音乐唱片	赠送给构造体能增加信赖度，大家都喜爱的普通礼物。	人们为了感受和保存文明曾经的辉煌，不惜成立专门的部队前往地球挖掘那些人工模拟环境下再也无法复现的声音，景象和文化来制成的产品。	Assets/Product/Texture/Image/IconTools/ItGift0202.png	Assets/Product/Texture/Image/IconToolsSp/ItGift0202Sp.png	4	3	2500	99999	999					1	10																	
40683	特供巧克力	赠送给构造体能增加信赖度，大家都喜爱的精致礼物。	曾经地球联合政府军队内部的特供巧克力，有着超长的保质期，品种丰富，口味极佳，如果在这个时代有幸获得，作为礼物赠送再合适不过。	Assets/Product/Texture/Image/IconTools/ItGift0203.png	Assets/Product/Texture/Image/IconToolsSp/ItGift0203Sp.png	4	4	2500	99999	999					1	20																	
40684	一日观光券（一对）	赠送给构造体能增加信赖度，大家都喜爱的精致礼物。	两人一套的手环。凭此手环可免费体验双人一日的空中花园观光之旅，内含高级交通券，宇宙观景台门票，全息剧院特等席，酒吧和露天泳池派对入场资格等。	Assets/Product/Texture/Image/IconTools/ItGift0204.png	Assets/Product/Texture/Image/IconToolsSp/ItGift0204Sp.png	4	4	2500	99999	999					1	40																	
40691	普通礼物盒	使用后随机获得1件普通礼物。	包装好的礼物盒，打开之前永远不知道里面藏着什么礼物。	Assets/Product/Texture/Image/IconTools/ItCaseGift01.png	Assets/Product/Texture/Image/IconToolsSp/ItCaseGift01Sp.png	16	3	2500	99999	999					1	10										2	1003						
40692	精致礼物盒	使用后随机获得1件精致礼物。	包装好的礼物盒，打开之前永远不知道里面藏着什么礼物。	Assets/Product/Texture/Image/IconTools/ItCaseGift02.png	Assets/Product/Texture/Image/IconToolsSp/ItCaseGift02Sp.png	16	4	2500	99999	999					1	20										2	1004						
40693	珍贵礼物盒	使用后随机获得1件珍贵礼物。	包装好的礼物盒，打开之前永远不知道里面藏着什么礼物。	Assets/Product/Texture/Image/IconTools/ItCaseGift03.png	Assets/Product/Texture/Image/IconToolsSp/ItCaseGift03Sp.png	16	5	2500	99999	999					1	40										2	1005						
50000	基准角色研发券	研发角色用的道具。	统一配发给各执行者小队的资格券，累积多个以后可以使用一次构造体的研发设备。	Assets/Product/Texture/Image/IconTools/IconConsumeTicC3.png	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicC3Sp.png	32772	5	800	99999	9999					1	10																	
50001	基准武器研发券	研发武器用的道具。	统一配发给各执行者小队的资格券，累积多个以后可以使用一次装备的研发设备。	Assets/Product/Texture/Image/IconTools/IconConsumeTicC2.png	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicC2Sp.png	32772	5	800	99999	9999					1	10																	
50002	基准意识研发券	研发意识用的道具。	统一配发给各执行者小队的资格券，累积多个以后可以使用一次装备的研发设备。	Assets/Product/Texture/Image/IconTools/IconConsumeTicC1.png	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicC1Sp.png	32772	5	800	99999	9999					1	10																	
50003	狙击武器研发券	研发特定武器用的道具。	统一配发给各执行者小队的资格券，累积多个以后可以使用一次特殊装备的研发设备。	Assets/Product/Texture/Image/IconTools/IconConsumeTicD2.png	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicD2Sp.png	32772	5	800	99999	9999					1	10																	
50004	狙击意识研发券	研发特定意识用的道具。	统一配发给各执行者小队的资格券，累积多个以后可以使用一次特殊装备的研发设备。	Assets/Product/Texture/Image/IconTools/IconConsumeTicD1.png	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicD1Sp.png	32772	5	800	99999	9999					1	10																	
50005	活动角色研发券	研发特定活动道具用的道具。	统一配发给各执行者小队的资格券，累积多个以后可以使用一次特殊装备的研发设备。	Assets/Product/Texture/Image/IconTools/IconConsumeTicF3.png	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicF3Sp.png	32772	5	800	99999	9999					1	10																	
50006	活动武器研发券	研发特定活动道具用的道具。	统一配发给各执行者小队的资格券，累积多个以后可以使用一次特殊装备的研发设备。	Assets/Product/Texture/Image/IconTools/IconConsumeTicE3.png	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicE3Sp.png	32772	5	800	99999	9999					1	10																	
90001	小型血清组	使用后可获得30毫升血清。	保证指挥官行动的小型血清组，能保存若干血清。	Assets/Product/Texture/Image/IconTools/ItBatI010010.png	Assets/Product/Texture/Image/IconToolsSp/ItBatI010010Sp.png	16	3	4000	999	999					1	10										1	1106	90000					
90002	中型血清组	使用后可获得60毫升血清。	保证指挥官行动的中型血清组，能保存少量血清。	Assets/Product/Texture/Image/IconTools/ItBatI010020.png	Assets/Product/Texture/Image/IconToolsSp/ItBatI010020Sp.png	16	4	4010	999	999					1	20										1	1107	90000					
90003	大型血清组	使用后可获得120毫升血清。	保证指挥官行动的大型血清组，能保存大量血清。	Assets/Product/Texture/Image/IconTools/ItBatI010030.png	Assets/Product/Texture/Image/IconToolsSp/ItBatI010030Sp.png	16	4	4020	999	999					1	40										1	1108	90000					
90011	小型螺母包	使用后可获得10000 螺母。	成箱螺母，在其含有的化合物成为构成构造体的重要化合物的现在，这些箱子也拥有了当初所未能想象的价值。	Assets/Product/Texture/Image/IconTools/ItCaseNut001.png	Assets/Product/Texture/Image/IconToolsSp/ItCaseNut001Sp.png	16	2	4001	999	999					1	10000										1	1101						
90012	中型螺母包	使用后可获得20000 螺母。	成箱螺母，在其含有的化合物成为构成构造体的重要化合物的现在，这些箱子也拥有了当初所未能想象的价值。	Assets/Product/Texture/Image/IconTools/ItCaseNut002.png	Assets/Product/Texture/Image/IconToolsSp/ItCaseNut002Sp.png	16	3	4011	999	999					1	20000										1	1102						
90013	大型螺母包	使用后可获得50000 螺母。	成箱螺母，在其含有的化合物成为构成构造体的重要化合物的现在，这些箱子也拥有了当初所未能想象的价值。	Assets/Product/Texture/Image/IconTools/ItCaseNut003.png	Assets/Product/Texture/Image/IconToolsSp/ItCaseNut003Sp.png	16	3	4021	999	999					1	50000										1	1103						
90014	特大型螺母包	使用后可获得100000 螺母。	成箱螺母，在其含有的化合物成为构成构造体的重要化合物的现在，这些箱子也拥有了当初所未能想象的价值。	Assets/Product/Texture/Image/IconTools/ItCaseNut004.png	Assets/Product/Texture/Image/IconToolsSp/ItCaseNut004Sp.png	16	4	4031	999	999					1	100000										1	1104						
90015	超大型螺母包	使用后可获得200000 螺母。	成箱螺母，在其含有的化合物成为构成构造体的重要化合物的现在，这些箱子也拥有了当初所未能想象的价值。	Assets/Product/Texture/Image/IconTools/ItCaseNut005.png	Assets/Product/Texture/Image/IconToolsSp/ItCaseNut005Sp.png	16	4	4041	999	999					1	200000										1	1105						
90016	中型血清组	使用后可获得60毫升血清。	保证指挥官行动的中型血清组，能保存少量血清。	Assets/Product/Texture/Image/IconTools/ItBatI010020.png	Assets/Product/Texture/Image/IconToolsSp/ItBatI010020Sp.png	16	4	4010	999	999	2		1728000	810	1	1000										1	1107	90000					
90020	中型血清组	使用后可获得60毫升血清。	保证指挥官行动的中型血清组，能保存少量血清。	Assets/Product/Texture/Image/IconTools/ItBatI010020.png	Assets/Product/Texture/Image/IconToolsSp/ItBatI010020Sp.png	16	4	4010	999	999	2		1728000	810	1	1000										1	1107	90000					
90021	中型血清组	使用后可获得60毫升血清。	保证指挥官行动的中型血清组，能保存少量血清。	Assets/Product/Texture/Image/IconTools/ItBatI010020.png	Assets/Product/Texture/Image/IconToolsSp/ItBatI010020Sp.png	16	4	4010	999	999	2		1728000	810	1	1000										1	1107	90000					
90022	中型血清组	使用后可获得60毫升血清。	保证指挥官行动的中型血清组，能保存少量血清。	Assets/Product/Texture/Image/IconTools/ItBatI010020.png	Assets/Product/Texture/Image/IconToolsSp/ItBatI010020Sp.png	16	4	4010	999	999	2		1728000	810	1	1000										1	1107	90000					
90023	中型血清组	使用后可获得60毫升血清。	保证指挥官行动的中型血清组，能保存少量血清。	Assets/Product/Texture/Image/IconTools/ItBatI010020.png	Assets/Product/Texture/Image/IconToolsSp/ItBatI010020Sp.png	16	4	4010	999	999	2		1728000	810	1	1000										1	1107	90000					
90024	中型血清组	使用后可获得60毫升血清。	保证指挥官行动的中型血清组，能保存少量血清。	Assets/Product/Texture/Image/IconTools/ItBatI010020.png	Assets/Product/Texture/Image/IconToolsSp/ItBatI010020Sp.png	16	4	4010	999	999	2		1728000	810	1	1000										1	1107	90000					
90025	中型血清组	使用后可获得60毫升血清。	保证指挥官行动的中型血清组，能保存少量血清。	Assets/Product/Texture/Image/IconTools/ItBatI010020.png	Assets/Product/Texture/Image/IconToolsSp/ItBatI010020Sp.png	16	4	4010	999	999	2		1728000	810	1	1000										1	1107	90000					
90026	中型血清组	使用后可获得60毫升血清。	保证指挥官行动的中型血清组，能保存少量血清。	Assets/Product/Texture/Image/IconTools/ItBatI010020.png	Assets/Product/Texture/Image/IconToolsSp/ItBatI010020Sp.png	16	4	4010	999	999	2		1728000	810	1	1000										1	1107	90000					
90027	中型血清组	使用后可获得60毫升血清。	保证指挥官行动的中型血清组，能保存少量血清。	Assets/Product/Texture/Image/IconTools/ItBatI010020.png	Assets/Product/Texture/Image/IconToolsSp/ItBatI010020Sp.png	16	4	4010	999	999	2		1728000	810	1	1000										1	1107	90000					
90028	中型血清组	使用后可获得60毫升血清。	保证指挥官行动的中型血清组，能保存少量血清。	Assets/Product/Texture/Image/IconTools/ItBatI010020.png	Assets/Product/Texture/Image/IconToolsSp/ItBatI010020Sp.png	16	4	4010	999	999	2		1728000	810	1	1000										1	1107	90000					
90029	中型血清组	使用后可获得60毫升血清。	保证指挥官行动的中型血清组，能保存少量血清。	Assets/Product/Texture/Image/IconTools/ItBatI010020.png	Assets/Product/Texture/Image/IconToolsSp/ItBatI010020Sp.png	16	4	4010	999	999	2		1728000	810	1	1000										1	1107	90000					
